Unicode code point	name	character
U+2500	BOX DRAWINGS LIGHT HORIZONTAL	─
U+2501	BOX DRAWINGS HEAVY HORIZONTAL	━
U+2502	BOX DRAWINGS LIGHT VERTICAL	│
U+2503	BOX DRAWINGS HEAVY VERTICAL	┃
U+2504	BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL	┄
U+2505	BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL	┅
U+2506	BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL	┆
U+2507	BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL	┇
U+2508	BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL	┈
U+2509	BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL	┉
U+250A	BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL	┊
U+250B	BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL	┋
U+250C	BOX DRAWINGS LIGHT DOWN AND RIGHT	┌
U+250D	BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY	┍
U+250E	BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT	┎
U+250F	BOX DRAWINGS HEAVY DOWN AND RIGHT	┏
U+2510	BOX DRAWINGS LIGHT DOWN AND LEFT	┐
U+2511	BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY	┑
U+2512	BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT	┒
U+2513	BOX DRAWINGS HEAVY DOWN AND LEFT	┓
U+2514	BOX DRAWINGS LIGHT UP AND RIGHT	└
U+2515	BOX DRAWINGS UP LIGHT AND RIGHT HEAVY	┕
U+2516	BOX DRAWINGS UP HEAVY AND RIGHT LIGHT	┖
U+2517	BOX DRAWINGS HEAVY UP AND RIGHT	┗
U+2518	BOX DRAWINGS LIGHT UP AND LEFT	┘
U+2519	BOX DRAWINGS UP LIGHT AND LEFT HEAVY	┙
U+251A	BOX DRAWINGS UP HEAVY AND LEFT LIGHT	┚
U+251B	BOX DRAWINGS HEAVY UP AND LEFT	┛
U+251C	BOX DRAWINGS LIGHT VERTICAL AND RIGHT	├
U+251D	BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY	┝
U+251E	BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT	┞
U+251F	BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT	┟
U+2520	BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT	┠
U+2521	BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY	┡
U+2522	BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY	┢
U+2523	BOX DRAWINGS HEAVY VERTICAL AND RIGHT	┣
U+2524	BOX DRAWINGS LIGHT VERTICAL AND LEFT	┤
U+2525	BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY	┥
U+2526	BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT	┦
U+2527	BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT	┧
U+2528	BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT	┨
U+2529	BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY	┩
U+252A	BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY	┪
U+252B	BOX DRAWINGS HEAVY VERTICAL AND LEFT	┫
U+252C	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL	┬
U+252D	BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT	┭
U+252E	BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT	┮
U+252F	BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY	┯
U+2530	BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT	┰
U+2531	BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY	┱
U+2532	BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY	┲
U+2533	BOX DRAWINGS HEAVY DOWN AND HORIZONTAL	┳
U+2534	BOX DRAWINGS LIGHT UP AND HORIZONTAL	┴
U+2535	BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT	┵
U+2536	BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT	┶
U+2537	BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY	┷
U+2538	BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT	┸
U+2539	BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY	┹
U+253A	BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY	┺
U+253B	BOX DRAWINGS HEAVY UP AND HORIZONTAL	┻
U+253C	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL	┼
U+253D	BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT	┽
U+253E	BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT	┾
U+253F	BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY	┿
U+2540	BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT	╀
U+2541	BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT	╁
U+2542	BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT	╂
U+2543	BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT	╃
U+2544	BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT	╄
U+2545	BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT	╅
U+2546	BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT	╆
U+2547	BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY	╇
U+2548	BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY	╈
U+2549	BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY	╉
U+254A	BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY	╊
U+254B	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL	╋
U+254C	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL	╌
U+254D	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL	╍
U+254E	BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL	╎
U+254F	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL	╏
U+2550	BOX DRAWINGS DOUBLE HORIZONTAL	═
U+2551	BOX DRAWINGS DOUBLE VERTICAL	║
U+2552	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE	╒
U+2553	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE	╓
U+2554	BOX DRAWINGS DOUBLE DOWN AND RIGHT	╔
U+2555	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE	╕
U+2556	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE	╖
U+2557	BOX DRAWINGS DOUBLE DOWN AND LEFT	╗
U+2558	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE	╘
U+2559	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE	╙
U+255A	BOX DRAWINGS DOUBLE UP AND RIGHT	╚
U+255B	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE	╛
U+255C	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE	╜
